Model,Accuracy,Precision,Recall,F1 Score
ANN,1.0,1.0,1.0,1.0
CNN,1.0,1.0,1.0,1.0
LSTM,1.0,1.0,1.0,1.0
XGBoost,0.9968746013522133,1.0,0.15517241379310345,0.26865671641791045
